order_id,order_date,customer_name,region,product_id,product_name,category,quantity,sales_amount,profit
ORD-00025,2024-07-03,"Sean Rasmussen",West,PROD-0001,"Bulletin Board (Bookcases)",Furniture,6,523.20,196.91
ORD-00082,2024-08-20,"Anna Lozano",West,PROD-0001,"Bulletin Board (Bookcases)",Furniture,9,833.85,306.83
ORD-00137,2023-10-05,"James Mayo",Central,PROD-0001,"Bulletin Board (Bookcases)",Furniture,7,724.85,245.50
ORD-00173,2023-11-13,"Kathleen Ramos",North,PROD-0001,"Bulletin Board (Bookcases)",Furniture,11,1139.05,435.94
ORD-00380,2023-01-14,"Jacob Fitzpatrick",South,PROD-0001,"Bulletin Board (Bookcases)",Furniture,5,517.75,196.41
ORD-00431,2023-08-29,"John Hernandez",East,PROD-0001,"Bulletin Board (Bookcases)",Furniture,12,1046.40,320.54
ORD-00476,2023-07-07,"Robert Robinson",East,PROD-0001,"Bulletin Board (Bookcases)",Furniture,1,109.00,34.51
ORD-00510,2023-08-03,"Mark Brennan",North,PROD-0001,"Bulletin Board (Bookcases)",Furniture,5,517.75,90.00
ORD-00575,2024-12-04,"Vincent Mueller",East,PROD-0001,"Bulletin Board (Bookcases)",Furniture,14,1526.00,234.32
ORD-00597,2023-11-09,"Dwayne Payne",South,PROD-0001,"Bulletin Board (Bookcases)",Furniture,5,545.00,194.58
ORD-00688,2024-10-16,"Victoria Valdez",South,PROD-0001,"Bulletin Board (Bookcases)",Furniture,3,277.95,51.26
ORD-00770,2024-06-17,"Denise King",South,PROD-0001,"Bulletin Board (Bookcases)",Furniture,10,1090.00,338.85
ORD-00857,2024-10-04,"Matthew Harvey",South,PROD-0001,"Bulletin Board (Bookcases)",Furniture,12,1111.80,188.28
ORD-00873,2024-02-20,"Melanie Taylor",South,PROD-0001,"Bulletin Board (Bookcases)",Furniture,10,872.00,188.11
ORD-01114,2023-07-17,"Courtney Jones",North,PROD-0001,"Bulletin Board (Bookcases)",Furniture,9,833.85,358.55
ORD-01148,2024-11-15,"Robert Robinson",East,PROD-0001,"Bulletin Board (Bookcases)",Furniture,6,523.20,167.27
ORD-01161,2024-10-24,"Walter Rush",West,PROD-0001,"Bulletin Board (Bookcases)",Furniture,11,1079.10,456.59
ORD-01164,2023-12-13,"Marie Christian",West,PROD-0001,"Bulletin Board (Bookcases)",Furniture,6,588.60,119.79
ORD-01239,2023-12-30,"Laurie Hoffman",North,PROD-0001,"Bulletin Board (Bookcases)",Furniture,8,741.20,204.80
ORD-01276,2024-02-25,"Amanda Lutz",East,PROD-0001,"Bulletin Board (Bookcases)",Furniture,12,1308.00,408.34
ORD-01293,2025-08-17,"Lori Hill",West,PROD-0001,"Bulletin Board (Bookcases)",Furniture,2,207.10,73.91
ORD-01300,2025-04-10,"Scott Cole",North,PROD-0001,"Bulletin Board (Bookcases)",Furniture,14,1297.10,273.65
